flight_no,weekday
9C6101,1
9C6101,2
9C6101,3
9C6101,4
9C6101,5
9C6101,6
9C6101,7
9C6102,1
9C6102,2
9C6102,3
9C6102,4
9C6102,5
9C6102,6
9C6102,7
9C6111,1
9C6111,2
9C6111,3
9C6111,4
9C6111,5
9C6111,6
9C6111,7
9C6112,1
9C6112,2
9C6112,3
9C6112,4
9C6112,5
9C6112,6
9C6112,7
9C6115,1
9C6115,2
9C6115,3
9C6115,4
9C6115,5
9C6115,6
9C6115,7
9C6116,1
9C6116,2
9C6116,3
9C6116,4
9C6116,5
9C6116,6
9C6116,7
9C6121,1
9C6121,2
9C6121,3
9C6121,4
9C6121,5
9C6121,6
9C6121,7
9C6122,1
9C6122,2
9C6122,3
9C6122,4
9C6122,5
9C6122,6
9C6122,7
9C6133,1
9C6133,2
9C6133,3
9C6133,4
9C6133,5
9C6133,6
9C6133,7
9C6134,1
9C6134,2
9C6134,3
9C6134,4
9C6134,5
9C6134,6
9C6134,7
9C6153,1
9C6153,2
9C6153,3
9C6153,4
9C6153,5
9C6153,6
9C6153,7
9C6154,1
9C6154,2
9C6154,3
9C6154,4
9C6154,5
9C6154,6
9C6154,7
9C6155,1
9C6155,2
9C6155,3
9C6155,4
9C6155,5
9C6155,6
9C6155,7
9C6156,1
9C6156,2
9C6156,3
9C6156,4
9C6156,5
9C6156,6
9C6156,7
9C6167,1
9C6167,2
9C6167,3
9C6167,4
9C6167,5
9C6167,6
9C6167,7
9C6168,1
9C6168,2
9C6168,3
9C6168,4
9C6168,5
9C6168,6
9C6168,7
9C6173,1
9C6173,2
9C6173,3
9C6173,4
9C6173,5
9C6173,6
9C6173,7
9C6174,1
9C6174,2
9C6174,3
9C6174,4
9C6174,5
9C6174,6
9C6174,7
9C6187,1
9C6187,2
9C6187,3
9C6187,4
9C6187,5
9C6187,6
9C6187,7
9C6188,1
9C6188,2
9C6188,3
9C6188,4
9C6188,5
9C6188,6
9C6188,7
9C6189,1
9C6189,2
9C6189,3
9C6189,4
9C6189,5
9C6189,6
9C6189,7
9C6190,1
9C6190,2
9C6190,3
9C6190,4
9C6190,5
9C6190,6
9C6190,7
9C6195,1
9C6195,2
9C6195,3
9C6195,4
9C6195,5
9C6195,6
9C6195,7
9C6196,1
9C6196,2
9C6196,3
9C6196,4
9C6196,5
9C6196,6
9C6196,7
9C6201,1
9C6201,2
9C6201,3
9C6201,4
9C6201,5
9C6201,6
9C6201,7
9C6202,1
9C6202,2
9C6202,3
9C6202,4
9C6202,5
9C6202,6
9C6202,7
9C6215,1
9C6215,2
9C6215,3
9C6215,4
9C6215,5
9C6215,6
9C6215,7
9C6216,1
9C6216,2
9C6216,3
9C6216,4
9C6216,5
9C6216,6
9C6216,7
9C6223,1
9C6223,2
9C6223,3
9C6223,4
9C6223,5
9C6223,6
9C6223,7
9C6224,1
9C6224,2
9C6224,3
9C6224,4
9C6224,5
9C6224,6
9C6224,7
9C6225,1
9C6225,2
9C6225,3
9C6225,4
9C6225,5
9C6225,6
9C6225,7
9C6226,1
9C6226,2
9C6226,3
9C6226,4
9C6226,5
9C6226,6
9C6226,7
9C6249,1
9C6249,2
9C6249,3
9C6249,4
9C6249,5
9C6249,6
9C6249,7
9C6250,1
9C6250,2
9C6250,3
9C6250,4
9C6250,5
9C6250,6
9C6250,7
9C6253,1
9C6253,2
9C6253,3
9C6253,4
9C6253,5
9C6253,6
9C6253,7
9C6254,1
9C6254,2
9C6254,3
9C6254,4
9C6254,5
9C6254,6
9C6254,7
9C6261,1
9C6261,2
9C6261,3
9C6261,4
9C6261,5
9C6261,6
9C6261,7
9C6262,1
9C6262,2
9C6262,3
9C6262,4
9C6262,5
9C6262,6
9C6262,7
9C6281,1
9C6281,2
9C6281,3
9C6281,4
9C6281,5
9C6281,6
9C6281,7
9C6282,1
9C6282,2
9C6282,3
9C6282,4
9C6282,5
9C6282,6
9C6282,7
9C6307,1
9C6307,2
9C6307,3
9C6307,4
9C6307,5
9C6307,6
9C6307,7
9C6308,1
9C6308,2
9C6308,3
9C6308,4
9C6308,5
9C6308,6
9C6308,7
9C6313,1
9C6313,2
9C6313,3
9C6313,4
9C6313,5
9C6313,6
9C6313,7
9C6314,1
9C6314,2
9C6314,3
9C6314,4
9C6314,5
9C6314,6
9C6314,7
9C6319,1
9C6319,2
9C6319,3
9C6319,4
9C6319,5
9C6319,6
9C6319,7
9C6320,1
9C6320,2
9C6320,3
9C6320,4
9C6320,5
9C6320,6
9C6320,7
9C6325,1
9C6325,2
9C6325,3
9C6325,4
9C6325,5
9C6325,6
9C6325,7
9C6326,1
9C6326,2
9C6326,3
9C6326,4
9C6326,5
9C6326,6
9C6326,7
9C6333,1
9C6333,2
9C6333,3
9C6333,4
9C6333,5
9C6333,6
9C6333,7
9C6334,1
9C6334,2
9C6334,3
9C6334,4
9C6334,5
9C6334,6
9C6334,7
9C6341,1
9C6341,2
9C6341,3
9C6341,4
9C6341,5
9C6341,6
9C6341,7
9C6359,1
9C6359,2
9C6359,3
9C6359,4
9C6359,5
9C6359,6
9C6359,7
9C6360,1
9C6360,2
9C6360,3
9C6360,4
9C6360,5
9C6360,6
9C6360,7
9C6361,1
9C6361,2
9C6361,3
9C6361,4
9C6361,5
9C6361,6
9C6361,7
9C6362,1
9C6362,2
9C6362,3
9C6362,4
9C6362,5
9C6362,6
9C6362,7
9C6369,1
9C6369,2
9C6369,3
9C6369,4
9C6369,5
9C6369,6
9C6369,7
9C6370,1
9C6370,2
9C6370,3
9C6370,4
9C6370,5
9C6370,6
9C6370,7
9C6381,1
9C6381,2
9C6381,3
9C6381,4
9C6381,5
9C6381,6
9C6381,7
9C6382,1
9C6382,2
9C6382,3
9C6382,4
9C6382,5
9C6382,6
9C6382,7
9C6391,1
9C6391,2
9C6391,3
9C6391,4
9C6391,5
9C6391,6
9C6391,7
9C6392,1
9C6392,2
9C6392,3
9C6392,4
9C6392,5
9C6392,6
9C6392,7
9C6401,1
9C6401,2
9C6401,3
9C6401,4
9C6401,5
9C6401,6
9C6401,7
9C6402,1
9C6402,2
9C6402,3
9C6402,4
9C6402,5
9C6402,6
9C6402,7
9C6403,1
9C6403,2
9C6403,3
9C6403,4
9C6403,5
9C6403,6
9C6403,7
9C6404,1
9C6404,2
9C6404,3
9C6404,4
9C6404,5
9C6404,6
9C6404,7
9C6409,1
9C6409,2
9C6409,3
9C6409,4
9C6409,5
9C6409,6
9C6409,7
9C6410,1
9C6410,2
9C6410,3
9C6410,4
9C6410,5
9C6410,6
9C6410,7
9C6411,1
9C6411,2
9C6411,3
9C6411,4
9C6411,5
9C6411,6
9C6411,7
9C6412,1
9C6412,2
9C6412,3
9C6412,4
9C6412,5
9C6412,6
9C6412,7
9C6415,1
9C6415,2
9C6415,3
9C6415,4
9C6415,5
9C6415,6
9C6415,7
9C6416,1
9C6416,2
9C6416,3
9C6416,4
9C6416,5
9C6416,6
9C6416,7
9C6421,1
9C6421,2
9C6421,3
9C6421,4
9C6421,5
9C6421,6
9C6421,7
9C6422,1
9C6422,2
9C6422,3
9C6422,4
9C6422,5
9C6422,6
9C6422,7
9C6425,1
9C6425,2
9C6425,3
9C6425,4
9C6425,5
9C6425,6
9C6425,7
9C6426,1
9C6426,2
9C6426,3
9C6426,4
9C6426,5
9C6426,6
9C6426,7
9C6433,1
9C6433,2
9C6433,3
9C6433,4
9C6433,5
9C6433,6
9C6433,7
9C6434,1
9C6434,2
9C6434,3
